1987,April,Motor Vehicle Duties,14782
1987,May,Customs,8888
1987,May,Excise Duty,135735
1987,May,Capital Gains Tax,7966
1987,May,Stamps,13905
1987,May,Income Tax,261256
1987,May,Corporation Tax,23086
1987,May,Valued Added Tax,197444
1987,May,Training and Employment Levy,11084
1987,May,Motor Vehicle Duties,14016
1987,June,Customs,10158
1987,June,Excise Duty,151115
1987,June,Capital Gains Tax,3036
1987,June,Stamps,13398
1987,June,Income Tax,250170
1987,June,Corporation Tax,23108
1987,June,Valued Added Tax,116584
1987,June,Training and Employment Levy,11371
1987,June,Motor Vehicle Duties,14447
1987,July,Customs,11555
1987,July,Excise Duty,152749
1987,July,Capital Gains Tax,5620
1987,July,Stamps,20588
1987,July,Income Tax,241431
1987,July,Corporation Tax,66864
1987,July,Valued Added Tax,236904
1987,July,Training and Employment Levy,13215
1987,July,Motor Vehicle Duties,15137
1987,August,Customs,10920
1987,August,Excise Duty,148619
1987,August,Capital Gains Tax,3565
1987,August,Stamps,23243
1987,August,Income Tax,243734
1987,August,Corporation Tax,48994
1987,August,Valued Added Tax,107829
1987,August,Training and Employment Levy,12531
1987,August,Motor Vehicle Duties,13489
1987,September,Customs,9269
1987,September,Excise Duty,145624
1987,September,Capital Gains Tax,3251
1987,September,Stamps,46574
1987,September,Income Tax,263660
1987,September,Corporation Tax,27214
1987,September,Valued Added Tax,221009
1987,September,Training and Employment Levy,807
1987,September,Motor Vehicle Duties,14189
1987,October,Customs,10793
1987,October,Excise Duty,152414
1987,October,Capital Gains Tax,6938
1987,October,Stamps,14189
1987,October,Income Tax,465090
1987,October,Corporation Tax,28281
1987,October,Valued Added Tax,104163
1987,October,Training and Employment Levy,11978
1987,October,Motor Vehicle Duties,11148
1987,November,Customs,11682
1987,November,Excise Duty,142362
1987,November,Capital Gains Tax,4664
1987,November,Stamps,18882
1987,November,Income Tax,331515
1987,November,Corporation Tax,34901
1987,November,Valued Added Tax,255677
1987,November,Training and Employment Levy,19614
1987,November,Motor Vehicle Duties,13358
1987,December  ,Customs,4571
1987,December  ,Excise Duty,219187
1987,December  ,Capital Gains Tax,2966
1987,December  ,Stamps,9844
1987,December  ,Income Tax,296250
1987,December  ,Corporation Tax,9933
1987,December  ,Valued Added Tax,103639
1987,December  ,Training and Employment Levy,16017
1987,December  ,Motor Vehicle Duties,17026
1988,January,Customs,7999
1988,January,Excise Duty,114779
1988,January,Capital Gains Tax,4850
1988,January,Stamps,16918
1988,January,Income Tax,291429
1988,January,Corporation Tax,20044
1988,January,Valued Added Tax,277551
1988,January,Training and Employment Levy,10265
1988,January,Motor Vehicle Duties,14528
1988,February,Customs,10666
1988,February,Excise Duty,105454
1988,February,Capital Gains Tax,3694
1988,February,Stamps,19671
1988,February,Income Tax,256135
1988,February,Corporation Tax,14018
1988,February,Valued Added Tax,101010
1988,February,Training and Employment Levy,9873
1988,February,Motor Vehicle Duties,17128
1988,March,Customs,9523
1988,March,Excise Duty,187865
1988,March,Capital Gains Tax,3650
1988,March,Stamps,21765
1988,March,Income Tax,265872
1988,March,Corporation Tax,18429
1988,March,Valued Added Tax,202314
1988,March,Training and Employment Levy,10212
1988,March,Motor Vehicle Duties,16595
1988,April,Customs,8634
1988,April,Excise Duty,137241
1988,April,Capital Gains Tax,3720
1988,April,Stamps,10280
1988,April,Income Tax,367904
1988,April,Corporation Tax,13821
1988,April,Valued Added Tax,130767
1988,April,Training and Employment Levy,10401
1988,April,Motor Vehicle Duties,14012
1988,May,Customs,10412
1988,May,Excise Duty,160561
1988,May,Capital Gains Tax,4875
1988,May,Stamps,16477
1988,May,Income Tax,293575
1988,May,Corporation Tax,24263
1988,May,Valued Added Tax,246419
1988,May,Training and Employment Levy,14182
1988,May,Motor Vehicle Duties,17529
1988,June,Customs,11809
1988,June,Excise Duty,151197
1988,June,Capital Gains Tax,6544
1988,June,Stamps,15029
1988,June,Income Tax,281051
1988,June,Corporation Tax,32865
1988,June,Valued Added Tax,96410
1988,June,Training and Employment Levy,12580
1988,June,Motor Vehicle Duties,13949
1988,July,Customs,18030
1988,July,Excise Duty,159532
1988,July,Capital Gains Tax,8390
1988,July,Stamps,14252
1988,July,Income Tax,271555
1988,July,Corporation Tax,52558
1988,July,Valued Added Tax,237582
1988,July,Training and Employment Levy,12045
1988,July,Motor Vehicle Duties,14824
1988,August,Customs,10666
1988,August,Excise Duty,175056
1988,August,Capital Gains Tax,5191
1988,August,Stamps,32256
1988,August,Income Tax,226881
1988,August,Corporation Tax,64272
1988,August,Valued Added Tax,111460
1988,August,Training and Employment Levy,11523
1988,August,Motor Vehicle Duties,15151
1988,September,Customs,11809
1988,September,Excise Duty,141863
1988,September,Capital Gains Tax,8279
1988,September,Stamps,59701
1988,September,Income Tax,270231
1988,September,Corporation Tax,36024
1988,September,Valued Added Tax,273146
1988,September,Training and Employment Levy,10078
1988,September,Motor Vehicle Duties,13927
1988,October,Customs,13840
1988,October,Excise Duty,160499
1988,October,Capital Gains Tax,11843
1988,October,Stamps,15185
1988,October,Income Tax,524653
1988,October,Corporation Tax,62410
1988,October,Valued Added Tax,189324
1988,October,Training and Employment Levy,13497
1988,October,Unallocated Tax Receipts,285809
1988,October,Motor Vehicle Duties,13182
1988,November,Customs,11301
1988,November,Excise Duty,193360
1988,November,Capital Gains Tax,9950
1988,November,Stamps,21968
1988,November,Income Tax,569864
1988,November,Corporation Tax,76372
1988,November,Valued Added Tax,280888
1988,November,Training and Employment Levy,21718
1988,November,Unallocated Tax Receipts,-157679
1988,November,Motor Vehicle Duties,14125
1988,December  ,Customs,11858
1988,December  ,Excise Duty,193748
1988,December  ,Capital Gains Tax,7837
1988,December  ,Stamps,8319
1988,December  ,Income Tax,259359
1988,December  ,Corporation Tax,8602
1988,December  ,Valued Added Tax,145032
1988,December  ,Training and Employment Levy,40524
1988,December  ,Unallocated Tax Receipts,-128131
1988,December  ,Motor Vehicle Duties,12846
1989,January,Customs,11174
1989,January,Excise Duty,133484
1989,January,Capital Gains Tax,4021
1989,January,Stamps,27393
1989,January,Income Tax,330028
1989,January,Corporation Tax,21211
1989,January,Valued Added Tax,274571
1989,January,Training and Employment Levy,12017
1989,January,Motor Vehicle Duties,17929
1989,February,Customs,14475
1989,February,Excise Duty,152711
1989,February,Capital Gains Tax,10140
1989,February,Stamps,20382
1989,February,Income Tax,259157
